編號,機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度,cos緯度,sin緯度,cos經度,sin經度
78,新竹市政府,新竹市政府中庭,洽公場所,新竹市,北區,300新竹市北區中正路120號,24.806854,120.969426,0.907727295,0.419560672,-0.514580603,0.857442012
79,新竹市政府,新竹市政府地政處民眾洽公處,洽公場所,新竹市,北區,300新竹市北區中正路120號,24.80736,120.969148,0.90772359,0.419568689,-0.514576442,0.857444508
80,新竹市政府,新竹市政府府前廣場(右側),洽公場所,新竹市,北區,300新竹市北區中正路120號,24.806596,120.968945,0.907729184,0.419556585,-0.514573404,0.857446332
81,新竹市政府,新竹市政府府前廣場(左側),洽公場所,新竹市,北區,300新竹市北區中正路120號,24.806915,120.968711,0.907726848,0.419561639,-0.514569902,0.857448433
82,新竹市政府,新竹市政府勞工處,洽公場所,新竹市,東區,300新竹市東區國華街69號5樓,24.816342,120.970223,0.907657805,0.419710983,-0.51459253,0.857434854
83,新竹市文化局,新竹市香山圖書館,文教館所,新竹市,香山區,300新竹市香山區牛埔路389號2樓,24.797359,120.942783,0.907796812,0.419410239,-0.51418183,0.857681203
84,新竹市消防局,新竹市消防局1樓,洽公場所,新竹市,北區,300新竹市北區西大路679號,24.810343,120.95752,0.907701745,0.419615947,-0.514402416,0.857548922
85,新竹市消防局,新竹市消防局災害應變中心,洽公場所,新竹市,北區,300新竹市北區西大路679號,24.810343,120.95752,0.907701745,0.419615947,-0.514402416,0.857548922
86,新竹市政府,新竹市產業發展處工商科民眾洽公處,洽公場所,新竹市,北區,300新竹市北區中正路120號,24.807358,120.969254,0.907723604,0.419568657,-0.514578029,0.857443556
87,新竹市文化局,新竹市眷村博物館,文教館所,新竹市,東區,300新竹市東區東大路二段105號,24.8114733,120.9660058,0.907693466,0.419633854,-0.514529418,0.857472727
88,新竹市政府,新竹市終身教育學習中心,文教館所,新竹市,東區,300新竹市東區中央路241號,24.809739,120.976246,0.907706168,0.419606378,-0.514682662,0.857380754
89,新竹市政府,新竹市勞工育樂中心2樓,洽公場所,新竹市,東區,300新竹市東區田美三街2號,24.814881,120.977175,0.907668507,0.419687838,-0.514696563,0.857372409
